Locality,ID,Lat,Long,OpH2O,DevOp,DevLow,DevMed,DevHi,Barren,DecForest,EvGForest,MixForest,ShrubScrub,GrassHerb,PastureHay,Crops,WoodyWetlands,EmHerbWetlands,
PeavineCr,8587.1,34.9754,-85.1709,0.002188475,0.140522575,0.057248044,0.011668456,0.000971519,0.002433911,0.218908831,0.083683592,0.105077466,0.046469295,0.028439945,0.281096283,0.018244107,0.00252595,0.000521552,
PigeonR1,8708.1,35.9553,-83.1788,0,0.310100634,0.112374208,0.0490123,0.016585911,0,0.264815505,0.024412971,0.016585911,0.004099888,0.006336191,0.194931047,0,0.000745434,0,
PigeonR2,8708.13,36.025,-83.202,0.003390913,0.085562491,0.035540717,0.0124198,0.004476702,0.001875454,0.510262738,0.034780084,0.031987226,0.009197271,0.030988532,0.222784149,0.011891421,0.004842503,0,
PigeonR3,8708.2,35.8516,-83.1882,0.001556579,0.035736945,0.005442317,0.00062097,6.23047E-05,0.000422634,0.782998913,0.04982508,0.024291569,0.008613627,0.006598069,0.079969138,0.003142234,0.000719619,0,
PigeonR4,8708.9,35.5491,-82.9394,0.000856267,0.074368788,0.012574483,0.002803083,0.001098842,0.000354532,0.746395591,0.027398482,0.013770769,0.012435573,0.004175599,0.098561968,0.004358048,0.000847974,0,
PlumCr,8833.1,37.1242,-81.5647,0.000645709,0.037858963,0.011690739,0.00346644,0,0.001053526,0.520441801,0.016720476,0.006898895,0.00988955,0.035344095,0.354936279,0.001053526,0,0,
PolandCr,8853.1,35.82,-84.0909,0,0.048651252,0,0,0,0,0.416184971,0.021676301,0.021676301,0,0.01300578,0.478805395,0,0,0,
PolecatCr,8884.1,35.7345,-84.4598,0.00246546,0.042517561,4.65181E-05,0.000232591,0,0,0.219751593,0.049820905,0.092710611,0.075359352,0.035818951,0.385821277,0.093594455,0.001628134,0.000232591,
PondsCr,8911.2,35.73,-84.4361,0.001026173,0.067843768,0.015762859,0.002972727,0.000550113,0,0.131561687,0.023475023,0.059634386,0.061369359,0.028362567,0.431722489,0.171815162,0.003903688,0,
PoorValleyCr,8924.1,36.3981,-83.1961,0.000976917,0.075084854,0.009706549,0.00073895,0,0.002742883,0.652480493,0.020477687,0.088849367,0.000212918,0.081685307,0.066781058,0,0.000263016,0,
PoplarCr,8941.1,36.02226639,-84.31002808,0.00101601,0.058368227,0.026065271,0.003448276,0.000197044,0.002247537,0.66953202,0.026859606,0.043823892,0.003996305,0.027764778,0.120745074,0.000837438,0.015098522,0,
PowellR1,9026.8,36.8933,-82.7851,0.002243289,0.025282468,0.014988459,0.006166878,0.000796844,0.134909121,0.583432578,0.015408534,0.05625544,0.003581466,0.12383559,0.033099333,0,0,0,
PowellR2,9026.9,36.5462,-83.618,0.002332871,0.054035348,0.02081459,0.004667935,0.000635839,0.006783013,0.538377997,0.014801161,0.055447349,0.001830047,0.202422619,0.096998329,0.000669458,0.000183443,0,
RaccoonCr,9204.1,35.5078,-82.9653,0,0.118139757,0.006381621,0.002193682,0,0.000199426,0.610521698,0.002592534,0.00139598,0.002273452,0.003390236,0.243458839,0.009452776,0,0,
RavenFork,9267.1,35.52380555,-83.27916666,0,0.018550866,0.000906538,0,0,0,0.556470692,0.361786101,0.048853561,0.006998032,0.002741725,0.003637208,0,5.52767E-05,0,
RichardsonCr,9410.1,36.534906,-83.130282,0,0.058981843,0.010139873,0.000568591,0,0.004757212,0.586520602,0.027557712,0.078370797,0.001326712,0.173022251,0.057787802,0.000852887,0.000113718,0,
RichlandCr1,9414.1,35.4977,-85.0219,0.002090435,0.03462532,0.013794205,0.003468524,1.99723E-05,0.001544525,0.33502876,0.171076108,0.053625639,0.055529666,0.103230187,0.175463357,0.046369035,0.003994461,0.000139806,
RichlandCr5,9417.1,36.18055725,-83.67944336,0.000681618,0.047793902,0.025806215,0.003657285,0.001055409,0.002829082,0.529829962,0.06939314,0.101832307,0.001341249,0.080057168,0.131075931,0.000439754,0.004206977,0,
RichlandCr6,9417.2,36.138,83.6677,0.001101579,0.045072471,0.024989011,0.003570634,0.000911651,0.003223338,0.49734373,0.069996364,0.092782218,0.004818728,0.079275671,0.172486583,0.00032559,0.004102431,0,
RichlandCr2,9419.1,35.5023,-82.9785,0,0.396216877,0.108059148,0.0339133,0.018157307,0.00176939,0.344399039,0.000968951,0.00050554,0.01407086,0.009141846,0.070185786,0.002611956,0,0,
RichlandCr3,9419.2,35.4814,-83.0078,0.001648434,0.091421973,0.018846801,0.00656729,0.002618101,0.00111071,0.795435513,0.007175536,0.005324354,0.012297141,0.00482189,0.051903633,0.000714028,0.000114597,0,
RichlandCr4,9419.3,35.5478,-82.9458,0.01404199,0.204524641,0.041125394,0.015992267,0.002594716,0.000220466,0.50015263,0.003510498,0.001288878,0.002170742,0.006206967,0.202201269,0.005969542,0,0,
RoanCr,9461.1,36.39,-81.9128,5.11712E-05,0.051311901,0.004973199,0.00193491,0.000703604,0.002030856,0.682338907,0.044825954,0.032935051,0.00708401,0.010589236,0.156200028,0.00454464,0.000476532,0,
RobertsonCr,9515.1,36.33194351,-83.04638672,0.000147689,0.052340865,0.000354453,0.000383991,0,0.000147689,0.202274406,0.029419584,0.027913159,0.009245311,0.01890415,0.646876385,0.00756166,0.00443066,0,
RockCr,9562.1,34.9514,-85.3435,0.001269394,0.061424542,0.008265162,0.001086037,0.000211566,0.000183357,0.642919605,0.072538787,0.132045134,0.017122708,0.007884344,0.051650212,0.00212976,0.001269394,0,
RoseberryCr,9749.1,36.0667,-83.7572,0.00077469,0.103558577,0.050429828,0.009896042,0.00044982,0.00212415,0.204668133,0.072346062,0.066698321,0,0.112829868,0.37277589,0,0.003448621,0,
RussellCr,9832.1,36.502,-83.5038,0,0.072945179,0.059396262,0.025103621,0.010186127,0.020880582,0.260753109,0.025377336,0.087158833,0,0.251368577,0.186595761,0,0.000234613,0,
SouthForkClinchR,9877.1,37.12872,-81.491814,0,0.012144213,0.048266345,0.019768846,0.000793514,0.001449025,0.470070726,0.011212696,0.006382612,0.000966017,0.097360704,0.325754701,0.005830602,0,0,
SouthForkHolstonR1,9894.11,36.7413,-81.6907,0.000222882,0.035286085,0.003127421,0.000155663,0,0.000488217,0.658951889,0.007114529,0.00454962,0.001393896,0.003470588,0.280923085,0.003707621,0.000608503,0,
SouthForkHolstonR2,9894.6,36.4997,-82.5136,0.006487821,0.131163071,0.030731028,0.005095523,0.00096169,7.17679E-05,0.467094404,0.026224002,0.020123728,0.004865866,0.013004349,0.289497481,0.003114728,0.001564541,0,
SouthForkHolstonR3,9894.7,36.4868,-82.1951,0.019570192,0.047496936,0.010889953,0.003332304,0.001038766,0.001724184,0.572463745,0.018319289,0.015575038,0.003628265,0.00542789,0.296780084,0.003195607,0.000549366,8.38234E-06,
SouthForkHolstonR4,9894.8,36.5131,-82.1403,0.003883877,0.044798826,0.003919674,7.15922E-05,0,0.00064433,0.551081042,0.019974227,0.02104811,0.003472222,0.009861827,0.334443013,0.006228522,0.000572738,0,
SouthForkHolstonR5,9894.9,36.5268,-82.1121,0.02352258,0.103176317,0.053204558,0.012927538,0.003401149,0.002201963,0.342349794,0.009550787,0.00838332,0.004063568,0.016533634,0.413781241,0.006263091,0.00064046,0,
SanteetlahCr,10015.1,35.3605,-83.9165,0,0.01481258,0.000158763,0,0,0.000190516,0.917840189,0.026608665,0.013590106,0.02384619,0.001889279,0.001063712,0,0,0,
LongSavannahCr,10029.1,35.1813,-85.039,0.001067014,0.043658674,0.004831204,0.000622425,0,0.000148196,0.395091734,0.038353241,0.075476452,0.035196657,0.024244939,0.351655354,0.027994309,0.0016598,0,
ShootingCr,10309.1,35.0224,-83.6811,7.56475E-05,0.045948318,0.000151295,0,0,0,0.876936577,0.005794602,0.005613048,0.006687243,0.005703825,0.051894214,0,0.001195231,0,
ShulerCr,10354.1,35.18,-84.285,0,0.017337032,0,0,0,0,0.691063463,0.197792106,0.089796454,0.000506054,0.001180792,0.001124564,0,0.001199535,0,
ShutinCr,10361.1,35.9098,-82.8711,0,0.034034311,0.003478536,0,0,0.001818326,0.760415843,0.068542968,0.037670962,0.008182465,0.010158906,0.074986165,0.000711519,0,0,
SinkingCr2,10424.1,35.8737,-84.0477,0,0.028061224,0,0,0,0,0.591836735,0,0,0,0,0.380102041,0,0,0,
SinkingCr1,10433.3,36.17416667,82.725,0,0.392474428,0.325377496,0.048709206,0,0.001948368,0.091086215,0.044690697,0.02666829,0,0.017048222,0.045786654,0,0.006210424,0,
SnowbirdCr,10605.2,35.3094,-83.8552,0.000165012,0.014562346,0.000288772,0,0,4.95037E-05,0.90258492,0.042168923,0.026467992,0.007516316,0.001938896,0.004051055,0,0.000206266,0,
SocoCr,10623.1,35.4607,-83.3147,0,0.059501992,0.006028184,0.00193401,0.000803238,0.00059268,0.856111237,0.012727032,0.015206931,0.00728373,0.006870414,0.032082726,0.00014817,0.000709657,0,
SoddyCr,10624.1,35.2978,-85.1531,0.00245714,0.018421567,0.004083599,0.000984252,5.58441E-05,0.004167365,0.467219523,0.160216675,0.092373094,0.046818283,0.110934272,0.081678952,0.008935053,0.001605517,4.88636E-05,
SouthChestueeCr,10642.1,35.21701813,-84.71205139,0.001596077,0.058689255,0.014204191,0.003406152,0.000303165,0.001034329,0.289362461,0.132233616,0.085884975,0.072242532,0.04074008,0.28156041,0.013071779,0.005670976,0,
SouthChickamaugaCr,10643.1,35.0685,-85.2144,0.002971828,0.134785927,0.083695806,0.025995056,0.010989011,0.000999615,0.270590043,0.083987924,0.115374484,0.040121372,0.023769562,0.186112443,0.013099685,0.007171225,0.000336019,
SouthIndianCr,10648.1,36.1128,-82.4619,0,0.036618753,0.007747373,0.002597106,3.0761E-05,0.000180171,0.846203875,0.034562161,0.027091637,0.005115112,0.004728402,0.03465005,0,0.000474598,0,
SouthMouseCr,10649.1,35.2841,-84.8009,0.000523761,0.180234081,0.221953627,0.063042646,0.038959731,0.000322314,0.198203098,0.03843597,0.045647751,0.014121392,0.018190609,0.157672086,0.020879918,0.001813017,0,
SouthToeR,10657.1,35.9092,-82.1927,2.85982E-05,0.038613329,0.001910362,2.28786E-05,5.71965E-06,0.000348898,0.793709534,0.072084697,0.034506623,0.011828228,0.005822599,0.039928848,0,0.001189686,0,
SpringCr2,10734.1,35.22013855,-84.51410675,0,0.034701465,0.000118183,0,0,0.000438262,0.863360827,0.025330543,0.017180845,0.007977348,0.00678567,0.043186015,0.000802659,0.000118183,0,
SpringCr1,10738.1,35.8803,-82.8362,0,0.046994811,0.000126048,0,0,5.25199E-05,0.614545913,0.152444276,0.121657108,0.024516292,0.017447112,0.018487007,0,0.003728913,0,
StauntonCr,10821.1,36.8219,-82.5339,0,0.028423773,0.005471956,0,0,0,0.906318083,0.005674621,0.004965294,0,0.038911689,0.007903937,0,0.002330648,0,
StockCr,10936.1,35.8807,-83.8842,0,0.070081576,0.020235194,0.009323022,0.005323657,0.001668609,0.503972878,0.066638415,0.053766289,0.013825617,0.021003284,0.231751245,0.001350779,0.001059434,0,
StonyCr1,10960.2,36.7884,-82.5901,4.28563E-05,0.02734231,0.002922799,0.001217119,0,0,0.872339696,0.013585443,0.012368324,5.14275E-05,0.038484945,0.03149937,0.00013714,8.57126E-06,0,
StonyCr2,10962.3,36.37533951,-82.15486908,0,0.033951379,0.003319351,0.000223248,0,0.000599246,0.791550636,0.010710047,0.02410495,0.004130095,0.007425946,0.121646868,0.001785987,0.000552246,0,
SwanpondCr,11152.1,35.98166656,-83.83444214,0.001038585,0.110404733,0.060521181,0.030559577,0.005413231,0.000440612,0.398627809,0.073928369,0.032133191,0.014791968,0.017089444,0.24564109,0.002926921,0.006483288,0,
SweetwaterCr1,11177.1,35.7234,-84.3813,0.002331476,0.080216757,0.027107381,0.008093462,0.00311287,0.000667044,0.127875434,0.023530757,0.077091182,0.070230162,0.031046115,0.413300214,0.131610879,0.003729091,5.71752E-05,
SweetwaterCr2,11178.1,35.3232,-83.7903,0,0.042477426,0.002390945,5.08712E-05,0,0,0.886201195,0.009462037,0.012870406,0.001348086,0.004502098,0.038484039,0.000406969,0.001805926,0,
SwordsCr,11187.1,37.0502,-81.9268,0.000206977,0.065818593,0.026031301,0.009807512,9.55277E-05,0.010858316,0.726408636,0.034374055,0.003789266,0,0.014042574,0.108567244,0,0,0,
TigerCr,11396.1,34.9039,-85.0693,0.001910103,0.06066813,0.005193855,0.001194831,0,0.000219459,0.315061367,0.122791189,0.125107697,0.044046168,0.030586036,0.273543038,0.014614322,0.005055677,8.1281E-06,
TaccoaR2,11434.2,34.7935,-84.2677,0.002303086,0.105481345,0.013588208,0,0,0,0.298019346,0.415016122,0.064256103,0.015430677,0.040994933,0.039613082,0,0.005297098,0,
TaccoaR3,11434.4,34.9032,-84.2873,0.000489667,0.071392177,0.01280414,0.002560828,0.000363942,0.00048305,0.65248837,0.085354314,0.059845292,0.007821443,0.024443665,0.078214435,0.001594727,0.002143949,0,
TaccoaR4,11434.5,34.9863,-84.3634,0.000757525,0.062477473,0.004233586,0.000714761,6.10907E-05,0.000421526,0.662791479,0.079020838,0.05986279,0.012706868,0.029360197,0.083987513,0.00105076,0.002553592,0,
TaccoaR5,11434.6,34.9764,-84.3593,0.077035135,0.05476408,0.010117034,0.003086344,0.000598751,0.008777561,0.663002148,0.076510457,0.045832202,0.0041357,0.01219723,0.04247426,0.000191353,0.001277746,0,
TaccoaR6,11434.7,34.926,-84.3339,0.001220845,0.035322522,0.000610423,0,0,0.000255102,0.844169096,0.042346939,0.033518586,0.003516764,0.004063411,0.032725948,0.000209548,0.002040816,0,
TuckahoeCr,11567.1,35.9776,-83.6899,0.000762209,0.061329962,0.008068264,0.000557714,9.29524E-05,0.000260267,0.43657861,0.091632429,0.041010578,0.016117938,0.021100184,0.321038835,0.000650666,0.00079939,0,
TuckasegeeR1,11568.1,35.4278,-83.4119,0.006087427,0.078669729,0.009523276,0.00054152,0,0.001998021,0.732862771,0.046271918,0.033574216,0.013818087,0.012044143,0.062536179,0.000392135,0.001680578,0,
TuckasegeeR2,11568.2,35.285,-83.1416,0.000669826,0.064527179,0.009901561,0.003057461,0.00054434,0.00065626,0.824661483,0.015071943,0.010532385,0.012506253,0.008838317,0.0473084,0.000773268,0.000951323,0,
TuckasegeeR3,11568.3,35.4353,-83.3585,0.021186767,0.04340979,0.001113195,0.00017311,0,0.001375264,0.823756972,0.024184939,0.012057607,0.018121273,0.007287459,0.046472879,0.000286113,0.00057463,0,
TumblingCr,11584.1,35.0141,-84.4688,0,0.009146266,0,0,0,0,0.80623835,0.134783149,0.042028085,0.002087735,0.001714925,0.004001491,0,0,0,
ValleyR,11721.4,35.1212,-83.9968,0.000432969,0.053315717,0.009869154,0.00192926,0.000216485,0.00023877,0.797774665,0.031740473,0.042150839,0.003295024,0.005864188,0.046693833,0.0042119,0.002266722,0,
WataugaR1,11934.11,36.3742,-82.3144,0.001809896,0.078217164,0.033681862,0.009093984,0.00408265,0.002079897,0.690472234,0.017499614,0.01585884,0.007307825,0.009438161,0.126440499,0.002038358,0.001979017,0,
WataugaR2,11934.3,36.2903,-81.9361,0,0,0,0,0,0,0.80952381,0.119047619,0,0.071428571,0,0,0,0,0,
WataugaR3,11934.4,36.3319,-82.2712,0.001489766,0.144988655,0.152047856,0.053551374,0.0275263,0.000676125,0.358483647,0.011471202,0.008709404,0.010680479,0.020180606,0.20604616,0.002177351,0.001971076,0,
WataugaR4,11934.7,36.3576,-82.153,0,0.064130079,0.00278136,0.00049564,0,0.000668874,0.711816449,0.018733278,0.014017477,0.00973476,0.013444844,0.162776933,0.001246319,0.000153985,0,
WataugaR5,11934.8,36.2689,-81.8845,0.065646928,0.048353112,0.002653706,0.000479556,1.49085E-05,0.003704753,0.714316596,0.034955374,0.030646828,0.007180909,0.010043334,0.080401336,0.000777725,0.000824935,0,
WataugaR6,11934.9,36.2394,-81.8121,0.001166743,0.092538518,0.007681586,0.002724504,0.000170281,0.001847869,0.750644862,0.023189813,0.027604518,0.007013074,0.006369788,0.077736644,0.000340563,0.000971235,0,
WestBuffaloCr,12042.1,35.3281,-83.8914,0,0.01082262,0,0,0,0.000125552,0.932955002,0.023051426,0.018104661,0.009617316,0.001355966,0.00308859,0,0.000878867,0,
WestChickamaugaCr1,12044.1,35.00361252,-85.20500183,0.002978062,0.172643072,0.108251361,0.020417131,0.009772504,0.001730724,0.184622925,0.09133624,0.135270257,0.033647703,0.019355711,0.200037184,0.012950005,0.006855289,0.000131832,
WolfCr1,12358.1,35.9224,-82.9458,9.31272E-05,0.133690764,0.050528164,0.029840619,0.005002262,0.000745018,0.321395312,0.005427986,0.009765053,0.001809329,0.006705159,0.429941729,0.004217332,0.000838145,0,
WolfCr2,12361.1,36.6319,-81.9903,0,0.025549633,0.000126171,0,0,0,0.870327729,0.058984954,0.035012459,0.00744409,0.000788569,0.001766394,0,0,0,

